Vs,Vg,Vd,Id,Is,Qs,Qd,Ig,Qg,Vb,Ib,Qb
6.00E-01,1.10E+00,2.50E-01,-1.19E-04,1.19E-04,7.95E-16,-2.11E-15,5.15E-31,6.14E-15,0.00E+00,-3.36E-16,-4.43E-15
3.00E-01,1.20E+00,2.00E-02,-1.19E-04,1.19E-04,6.25E-16,-4.04E-15,6.44E-33,8.87E-15,0.00E+00,-8.75E-17,-5.06E-15
6.00E-01,9.00E-01,1.40E-01,-1.19E-04,1.19E-04,8.61E-16,-1.77E-15,1.61E-32,5.39E-15,0.00E+00,-4.61E-16,-4.09E-15
3.00E-01,1.00E+00,-3.00E-34,-1.18E-04,1.18E-04,6.75E-16,-3.13E-15,-1.45E-32,7.39E-15,0.00E+00,1.17E-17,-4.55E-15
6.00E-01,1.20E+00,2.80E-01,-1.18E-04,1.18E-04,7.66E-16,-2.45E-15,3.22E-33,6.73E-15,0.00E+00,-5.50E-16,-4.65E-15
6.00E-01,8.00E-01,7.00E-02,-1.18E-04,1.18E-04,8.99E-16,-1.70E-15,-1.23E-31,5.14E-15,0.00E+00,9.65E-16,-3.96E-15
6.00E-01,1.00E+00,2.10E-01,-1.17E-04,1.17E-04,8.26E-16,-1.86E-15,1.16E-31,5.67E-15,0.00E+00,-9.47E-15,-4.24E-15
6.00E-01,1.10E+00,2.60E-01,-1.16E-04,1.16E-04,7.94E-16,-2.08E-15,-7.08E-32,6.11E-15,0.00E+00,-3.86E-16,-4.43E-15
6.00E-01,7.00E-01,2.01E-33,-1.16E-04,1.16E-04,9.37E-16,-1.64E-15,-3.03E-31,4.91E-15,0.00E+00,3.19E-16,-3.83E-15
6.00E-01,9.00E-01,1.50E-01,-1.16E-04,1.16E-04,8.61E-16,-1.74E-15,-2.48E-31,5.35E-15,0.00E+00,-1.53E-15,-4.09E-15
3.00E-01,1.00E+00,1.00E-02,-1.15E-04,1.15E-04,6.75E-16,-3.10E-15,-3.22E-32,7.37E-15,0.00E+00,-2.86E-16,-4.55E-15
3.00E-01,1.10E+00,2.00E-02,-1.15E-04,1.15E-04,6.50E-16,-3.55E-15,3.35E-31,8.10E-15,0.00E+00,-2.94E-16,-4.80E-15
3.00E-01,1.20E+00,3.00E-02,-1.15E-04,1.15E-04,6.25E-16,-4.02E-15,9.01E-32,8.85E-15,0.00E+00,-2.94E-16,-5.06E-15
6.00E-01,1.20E+00,2.90E-01,-1.15E-04,1.15E-04,7.66E-16,-2.42E-15,2.31E-31,6.70E-15,0.00E+00,-2.70E-16,-4.65E-15
6.00E-01,8.00E-01,8.00E-02,-1.15E-04,1.15E-04,8.98E-16,-1.66E-15,-3.67E-31,5.11E-15,0.00E+00,8.13E-16,-3.95E-15
6.00E-01,1.00E+00,2.20E-01,-1.14E-04,1.14E-04,8.25E-16,-1.83E-15,-5.15E-32,5.63E-15,0.00E+00,-1.69E-12,-4.24E-15
6.00E-01,7.00E-01,1.00E-02,-1.13E-04,1.13E-04,9.37E-16,-1.60E-15,-9.66E-32,4.88E-15,0.00E+00,9.06E-15,-3.83E-15
3.00E-01,9.00E-01,-9.37E-34,-1.13E-04,1.13E-04,7.01E-16,-2.67E-15,-1.34E-31,6.66E-15,0.00E+00,-2.57E-16,-4.30E-15
6.00E-01,9.00E-01,1.60E-01,-1.13E-04,1.13E-04,8.60E-16,-1.70E-15,-1.38E-31,5.32E-15,0.00E+00,-6.88E-16,-4.09E-15
3.00E-01,1.10E+00,3.00E-02,-1.12E-04,1.12E-04,6.50E-16,-3.53E-15,6.76E-32,8.07E-15,0.00E+00,-1.22E-16,-4.81E-15
6.00E-01,1.10E+00,2.70E-01,-1.12E-04,1.12E-04,7.94E-16,-2.05E-15,-4.25E-31,6.08E-15,0.00E+00,-4.90E-16,-4.43E-15
6.00E-01,8.00E-01,9.00E-02,-1.12E-04,1.12E-04,8.98E-16,-1.63E-15,-1.54E-31,5.07E-15,0.00E+00,7.86E-16,-3.95E-15
3.00E-01,1.00E+00,2.00E-02,-1.11E-04,1.11E-04,6.75E-16,-3.08E-15,1.77E-32,7.34E-15,0.00E+00,-3.58E-17,-4.55E-15
6.00E-01,1.00E+00,2.30E-01,-1.11E-04,1.11E-04,8.25E-16,-1.80E-15,-8.37E-32,5.60E-15,0.00E+00,-3.95E-13,-4.24E-15
3.00E-01,1.20E+00,4.00E-02,-1.11E-04,1.11E-04,6.25E-16,-3.99E-15,-2.58E-32,8.82E-15,0.00E+00,-4.56E-16,-5.07E-15
6.00E-01,1.20E+00,3.00E-01,-1.11E-04,1.11E-04,7.66E-16,-2.39E-15,1.79E-31,6.67E-15,0.00E+00,-4.19E-16,-4.65E-15
