Vs,Vg,Vd,Is,Ig,Id,Ib,Qs,Qg,Qd,Qb,y
0.7,1.25,0.153846154,0.000134287,-2.44637E-31,-0.000134287,-8.30061E-16,8.95865E-16,7.69577E-15,-3.05733E-15,-5.14623E-15,0
0.5,1.1,-9.88E-35,0.000134,1.29E-32,-0.000134,-1.85E-16,8.22E-16,7.77E-15,-3.24E-15,-4.97E-15,0
0.5,1.1,3.935E-34,0.000133521,-9.01292E-32,-0.000133521,-2.03839E-16,8.22456E-16,7.7703E-15,-3.23915E-15,-4.96559E-15,0
0.4,1.5,0.038461538,0.00013343,-5.40784E-31,-0.00013343,-1.28553E-16,6.6551E-16,1.08506E-14,-5.02647E-15,-6.10109E-15,0
0.6,1.45,0.192307692,0.000133172,2.57427E-32,-0.000133172,-3.12333E-16,7.87131E-16,9.12092E-15,-3.84266E-15,-5.67705E-15,0
0.5,1.45,0.115384615,0.000133161,3.10627E-31,-0.000133161,-2.94131E-16,7.33141E-16,9.77928E-15,-4.30732E-15,-5.81667E-15,0
0.4,1.25,-6.92E-35,0.000133,1.22E-31,-0.000133,-1.78E-16,7.25E-16,9.08E-15,-4E-15,-5.42E-15,0
0.7,1.3,0.192307692,0.000132737,1.08155E-30,-0.000132737,-6.52507E-16,8.80455E-16,7.83084E-15,-3.09285E-15,-5.23034E-15,0
0.4,1.25,-4.53399E-33,0.000132618,-2.57509E-31,-0.000132618,-1.80558E-16,7.24623E-16,9.08242E-15,-4.00252E-15,-5.4163E-15,0
0.4,1.45,0.038461538,0.000131328,-5.15074E-32,-0.000131328,-1.33691E-16,6.77012E-16,1.04665E-14,-4.79336E-15,-5.96164E-15,0
0.6,1.05,1.64963E-31,0.00013107,1.28767E-32,-0.00013107,-3.11062E-16,8.98752E-16,7.35683E-15,-3.01367E-15,-4.85395E-15,0
0.6,1.05,2.68E-33,0.000131,-2.19E-31,-0.000131,-1.83E-16,8.99E-16,7.36E-15,-3.01E-15,-4.85E-15,0
0.7,1.45,0.269230769,0.000130773,-4.76401E-31,-0.000130773,-4.33749E-16,8.38002E-16,8.50246E-15,-3.40548E-15,-5.54674E-15,0
0.6,1.1,0.038461538,0.000130718,-5.85846E-31,-0.000130718,-9.20057E-16,8.82988E-16,7.46956E-15,-3.03477E-15,-4.92979E-15,0
0.6,1.3,0.153846154,0.000130718,1.93126E-31,-0.000130718,-4.03805E-16,8.25629E-16,8.21427E-15,-3.34253E-15,-5.30923E-15,0
0.5,1.25,0.076923077,0.000130375,5.30307E-36,-0.000130375,-3.16945E-16,7.82405E-16,8.46031E-15,-3.55774E-15,-5.29682E-15,0
